id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51763772,Condo in Munich · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,182593836,André,,Milbertshofen-Am Hart,48.1875,11.56568,Entire home/apt,50,3,5,2022-02-04,0.26,1,0,0,
51778155,Condo in Munich · 1 bedroom · 1 bed · 2.5 baths,133505779,Jiljil,,Tudering-Riem,48.12281,11.65473,Private room,155,1,1,2022-06-21,0.08,2,0,0,
51780547,Rental unit in Munich · ★5.0 · 2 bedrooms · 2 beds · 2 baths,324183510,Julia,,Maxvorstadt,48.15077,11.55775,Entire home/apt,142,3,7,2023-04-14,0.32,1,7,5,
51784842,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1 bath,181594506,Brigitte,,Tudering-Riem,48.11525,11.64844,Entire home/apt,75,2,8,2022-11-06,0.66,1,82,8,
51793795,Rental unit in Munich · 1 bedroom · 1 bed · 1 shared bath,49362266,Laura,,Ludwigsvorstadt-Isarvorstadt,48.13173,11.57639,Private room,97,2,2,2021-12-09,0.10,2,0,0,
51796166,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,406152112,Moritz,,Ludwigsvorstadt-Isarvorstadt,48.13681,11.55498,Entire home/apt,477,2,6,2022-10-02,0.64,1,11,6,
51799819,Rental unit in Munich · ★4.86 · 1 bedroom · 2 beds · 1 bath,34886210,Ilya,,Neuhausen-Nymphenburg,48.1467,11.53436,Entire home/apt,90,2,28,2023-06-18,2.58,1,290,28,
51801294,Rental unit in Munich · ★4.82 · 1 bedroom · 1 bed · 1 bath,54239071,Julia & Igor,,Maxvorstadt,48.14411,11.5625,Entire home/apt,99,2,55,2023-06-25,2.48,8,48,48,
51809901,Loft in Munich · 1 bedroom · 1 bed · 1 bath,43485250,Hischam,,Sendling-Westpark,48.11778,11.53048,Entire home/apt,129,3,0,,,1,0,0,
51810901,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,83378452,Norma,,Schwabing-Freimann,48.16279,11.58502,Entire home/apt,70,4,7,2022-08-14,0.32,1,0,2,
